datetime,inflow_cfs,event,day,elev_obs_ft,elev_rulecurve_ft,elev_shifted_ft,offset_ft,release_shifted_cfs,release_observed_cfs,in_special_release,elev_above_table
2008-10-30 13:00:00,7537.79,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 14:00:00,7516.95,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 15:00:00,7496.11,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 16:00:00,7475.27,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 17:00:00,7454.43,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 18:00:00,7433.59,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 19:00:00,7412.75,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 20:00:00,7391.91,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 21:00:00,7371.07,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 22:00:00,7350.23,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 23:00:00,7329.39,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-31 00:00:00,7308.55,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 01:00:00,7287.71,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 02:00:00,7266.87,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 03:00:00,7246.03,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 04:00:00,7225.19,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 05:00:00,7204.35,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 06:00:00,7183.51,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 07:00:00,7162.67,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 08:00:00,7141.83,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 09:00:00,7121.00,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 10:00:00,7100.16,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 11:00:00,7079.32,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 12:00:00,7058.48,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 13:00:00,7037.64,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 14:00:00,7016.80,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 15:00:00,6995.96,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 16:00:00,6975.12,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 17:00:00,6954.28,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 18:00:00,6933.44,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 19:00:00,6912.60,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 20:00:00,6891.76,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 21:00:00,6870.92,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 22:00:00,6850.08,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-10-31 23:00:00,6829.24,1,2008-10-31,715.52,762.17,761.21,45.69,0.00,0.00,False,False
2008-11-01 00:00:00,6808.40,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 01:00:00,6787.56,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 02:00:00,6766.72,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 03:00:00,6745.88,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 04:00:00,6725.04,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 05:00:00,6704.20,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 06:00:00,6683.36,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 07:00:00,6662.52,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 08:00:00,6641.68,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 09:00:00,6620.84,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 10:00:00,6600.00,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 11:00:00,6579.16,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 12:00:00,6558.32,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 13:00:00,6537.48,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 14:00:00,6516.64,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 15:00:00,6495.80,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 16:00:00,6474.96,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 17:00:00,6454.12,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 18:00:00,6433.28,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 19:00:00,6412.44,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 20:00:00,6391.60,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 21:00:00,6370.76,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 22:00:00,6349.92,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-01 23:00:00,6329.08,1,2008-11-01,715.00,761.63,760.69,45.69,0.00,0.00,False,False
2008-11-02 00:00:00,6308.25,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 01:00:00,6287.41,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 02:00:00,6266.57,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 03:00:00,6245.73,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 04:00:00,6224.89,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 05:00:00,6204.05,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 06:00:00,6183.21,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 07:00:00,6162.37,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 08:00:00,6141.53,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 09:00:00,6120.69,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 10:00:00,6099.85,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 11:00:00,6079.01,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 12:00:00,6058.17,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 13:00:00,6037.33,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 14:00:00,6016.49,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 15:00:00,5995.65,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 16:00:00,5974.81,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 17:00:00,5953.97,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 18:00:00,5933.13,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 19:00:00,5912.29,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 20:00:00,5891.45,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 21:00:00,5870.61,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 22:00:00,5849.77,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-02 23:00:00,5828.93,1,2008-11-02,714.36,761.09,760.05,45.69,0.00,0.00,False,False
2008-11-03 00:00:00,5808.09,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 01:00:00,5787.25,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 02:00:00,5766.41,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 03:00:00,5745.57,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 04:00:00,5724.73,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 05:00:00,5703.89,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 06:00:00,5683.05,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 07:00:00,5662.21,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 08:00:00,5641.37,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 09:00:00,5620.53,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 10:00:00,5599.69,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 11:00:00,5578.85,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 12:00:00,5584.80,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 13:00:00,5598.54,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 14:00:00,5612.29,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 15:00:00,5626.03,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 16:00:00,5639.78,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 17:00:00,5653.52,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 18:00:00,5667.27,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 19:00:00,5681.01,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 20:00:00,5694.76,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 21:00:00,5708.50,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 22:00:00,5722.25,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-03 23:00:00,5736.00,1,2008-11-03,713.96,760.55,759.65,45.69,0.00,0.00,False,False
2008-11-04 00:00:00,5749.74,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 01:00:00,5763.49,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 02:00:00,5777.23,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 03:00:00,5790.98,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 04:00:00,5804.72,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 05:00:00,5818.47,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 06:00:00,5832.21,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 07:00:00,5845.96,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 08:00:00,5859.70,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 09:00:00,5873.45,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 10:00:00,5887.19,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 11:00:00,5900.94,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 12:00:00,5914.69,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 13:00:00,5928.43,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 14:00:00,5942.18,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 15:00:00,5955.92,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 16:00:00,5969.67,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 17:00:00,5983.41,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 18:00:00,5997.16,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 19:00:00,6010.90,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 20:00:00,6024.65,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 21:00:00,6038.39,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 22:00:00,6052.14,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-04 23:00:00,6065.88,1,2008-11-04,713.49,760.01,759.18,45.69,0.00,0.00,False,False
2008-11-05 00:00:00,6079.63,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 01:00:00,6093.38,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 02:00:00,6107.12,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 03:00:00,6120.87,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 04:00:00,6134.61,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 05:00:00,6148.36,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 06:00:00,6162.10,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 07:00:00,6175.85,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 08:00:00,6189.59,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 09:00:00,6203.34,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 10:00:00,6217.08,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 11:00:00,6230.04,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 12:00:00,6373.61,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 13:00:00,6517.17,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 14:00:00,6660.73,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 15:00:00,6804.29,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 16:00:00,6947.86,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 17:00:00,7091.42,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 18:00:00,7234.98,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 19:00:00,7378.55,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 20:00:00,7522.11,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 21:00:00,7665.67,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 22:00:00,7809.23,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-05 23:00:00,7952.80,1,2008-11-05,712.93,759.46,758.62,45.69,0.00,0.00,False,False
2008-11-06 00:00:00,8096.36,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 01:00:00,8239.92,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 02:00:00,8383.48,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 03:00:00,8527.05,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 04:00:00,8670.61,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 05:00:00,8814.17,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 06:00:00,8992.66,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 07:00:00,9186.47,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 08:00:00,9380.28,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 09:00:00,9574.09,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 10:00:00,9767.90,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 11:00:00,9961.71,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 12:00:00,10155.52,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 13:00:00,10349.33,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 14:00:00,10543.14,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 15:00:00,10736.95,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 16:00:00,10942.15,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 17:00:00,11157.49,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 18:00:00,11372.84,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 19:00:00,11484.99,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 20:00:00,11484.99,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 21:00:00,11484.99,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 22:00:00,11484.99,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-06 23:00:00,11484.99,1,2008-11-06,713.24,758.92,758.93,45.69,0.00,0.00,False,False
2008-11-07 00:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 01:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 02:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 03:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 04:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 05:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 06:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 07:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 08:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 09:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 10:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 11:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 12:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 13:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 14:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 15:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 16:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 17:00:00,11484.99,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 18:00:00,11483.33,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 19:00:00,11466.33,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 20:00:00,11449.33,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 21:00:00,11432.33,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 22:00:00,11415.33,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-07 23:00:00,11398.33,1,2008-11-07,713.37,758.38,759.06,45.69,0.00,0.00,False,False
2008-11-08 00:00:00,11381.33,1,2008-11-08,713.41,757.84,759.10,45.69,0.00,0.00,False,False
2008-11-08 01:00:00,11364.33,1,2008-11-08,713.41,757.84,759.10,45.69,0.00,0.00,False,False
2008-11-08 02:00:00,11347.33,1,2008-11-08,713.41,757.84,759.10,45.69,0.00,0.00,False,False
